240F Mid BP material,,300 F,,350 F,,400 F,,450 F,,500 F,,600 F,,800 F,,1000 F,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.063904277,0.101923047,-0.113228451,0.194444352,-0.152093951,0.279283166,2.065809883,0.068216163,-0.200088633,0.589141161,2.028761356,0.121374467,1.993396854,0.210374373,-0.280434301,2.320259706,1.896077997,0.846623611
0.038067804,0.113855945,0.039308664,0.231080842,0.009350764,0.326196711,-0.132816308,0.37930976,-0.085353423,0.687636215,-0.21608686,0.75557498,-0.217150454,1.104984612,-0.23576335,2.705408243,-0.301839131,3.653799092
0.171460226,0.126689386,0.220252604,0.253954919,0.187768668,0.372849948,-0.047817416,0.432969836,0.086682916,0.768927194,-0.146377133,0.858513153,-0.133348105,1.450552153,-0.134145801,3.43038089,-0.2566807,4.772872371
0.422335475,0.109600091,0.403235099,0.239523731,0.440815422,0.352021485,0.075825393,0.496664621,0.27352094,0.771022393,0.014225571,1.015942304,-0.009705296,1.663944866,-0.017726568,3.900382255,-0.175049856,5.741066006
0.619277642,0.093917258,0.598493242,0.210696626,0.735386661,0.282916432,0.23762464,0.511059919,0.509107024,0.663962326,0.134012852,1.096187328,0.13848881,1.660270085,0.167427432,4.014796073,-0.061998671,6.878701485
0.862441835,0.071884687,0.830223798,0.170664886,1.027786395,0.208344853,0.450343452,0.492878068,0.726390428,0.528382614,0.316995347,1.033895623,0.296432528,1.606931961,0.445867494,3.254209644,0.115089741,7.110649946
1.108974075,0.052212955,1.091203191,0.126173333,1.333303789,0.141233336,0.743230667,0.406633396,0.979304232,0.392300115,0.515621538,0.863051347,0.529005096,1.284685461,0.678440062,2.601625904,0.373188566,6.206128165
1.393662752,0.034019127,1.347485043,0.088897264,1.631597607,0.094896655,1.022867272,0.286596964,1.189364059,0.309444495,0.759627742,0.651989111,0.820562819,0.958536569,1.049324175,1.682441132,0.657522712,4.589779909
1.663062265,0.022063471,1.585109683,0.065699804,1.862840682,0.068611759,1.377620208,0.186921669,1.452869488,0.219960318,1.050343452,0.492878068,1.088765788,0.714945343,1.365433193,1.091907832,0.978329271,3.125651415
1.904896964,0.015272606,1.86089076,0.043555476,2.097451806,0.047075734,1.651717261,0.12720755,1.716374917,0.156352891,1.382583647,0.317170336,1.454110348,0.446429173,1.775315754,0.625168015,1.36955462,1.877181076
2.20655883,0.009738179,2.126922225,0.029767511,,,1.874052737,0.093582432,2.070640372,0.091023815,1.71819189,0.193685244,1.736272989,0.30252362,1.956481276,0.475990243,1.642809661,1.294334955
